"ID","nombrecompleto","INSTITUCION","NOMBRE","APELLIDO","Cargo","DestinoJunto","Pais","LatLong","Participacion","SALIDA","ano","REGRESO","CostoPasajes","costoNota","CostoViaticos","ViaticosNota","INFORME","informeNumber"
1696,"Viterbo Villarreal","Ministerio del Ambiente","Viterbo","Villarreal","Unidad de cambio climático y desertificación","nicaragua","nicaragua","13:-85'","Taller Regional Agenda de Negociadores de Cambio Climático hacia la COP 18","29/10/2012",2012,"02/11/2012",,,525,,"no","No"
1697,"Eric Rodríguez","Ministerio del Ambiente","Eric","Rodríguez","Redd","nicaragua","nicaragua","13:-85'","Taller Regional Agenda de Negociadores de Cambio Climático hacia la COP 18","29/10/2012",2012,"01/11/2012",,,420,,"no","No"
1698,"Billy Bonini","Ministerio del Ambiente","Billy","Bonini","Dirección de protección de la calidad ambiental","colombia","colombia","4:-72'","Consulta Regional Sobre Protección Climática a Corto Plazo y Beneficios del Aire limpio y el plan de acción regional sobre contaminación Atmosférica","30/10/2012",2012,"02/11/2012",,,420,,"no","No"
1699,"Cynthia Deville","Ministerio del Ambiente","Cynthia","Deville","Unidad de cambio climático y desertificación","república dominicana","república dominicana","19:-70,666667'","Taller RED de Implementación de Acciones de Mitigación","28/10/2012",2012,"01/11/2012",,,525,,"no","No"
1700,"Lissy Tapia","Ministerio del Ambiente","Lissy","Tapia","Unidad de cambio climático y desertificación","mexico","méxico","23:-102'","Segundo Seminario Internacional Cambio Climático Finanzas Públicas y Política Social Universal División de Desarrollo sostenible y Asentamientos Humanos.","27/01/2013",2013,"31/01/2013",,,420,,"no","No"
1701,"Carlos Gómez","Ministerio del Ambiente","Carlos","Gómez","Dirección de gestión integrada de cuencas hidrográficas","perú","perú","-10:-76'","Foro Regional REDD+ y anticorrupción y el Taller sobre Diretrices Conjuntas del Fondo Cooperativo del Carbono de los Bosques-FCPF y el programa ONU-REDD.","28/01/2013",2013,"02/02/2013",,,525,,"no","No"
1702,"Viterbo Villarreal","Ministerio del Ambiente","Viterbo","Villarreal","Unidad de cambio climático y desertificación","mexico","méxico","23:-102'","Segundo Seminario Internacional Cambio Climático Finanzas Públicas y Política Social Universal División de Desarrollo sostenible y Asentamientos Humanos.","27/01/2013",2013,"31/01/2013",,,420,,"no","No"
1703,"Silvano Vergara","Ministerio del Ambiente","Silvano","Vergara","Administración general","costa rica","costa rica","10:-84'","Reunión Ordinaria del Consejo de Ministros de la Comisión Centroaméricana de Ambiente y Desarrollo de la CCAD.","23/01/2013",2013,"26/01/2013",,,,,"no","No"
1704,"Ariadnny Guevara","Ministerio del Ambiente","Ariadnny","Guevara","Dirección de gestión integrada de cuencas hidrográficas","costa rica","costa rica","10:-84'","Reunión Ordinaria del Consejo de Ministros de la Comisión Centroaméricana de Ambiente y Desarrollo de la CCAD.","23/01/2013",2013,"26/01/2013",,,1050,,"no","No"
1705,"David Díaz","Ministerio del Ambiente","David","Díaz","Asesoría legal","nairobi","nairobi","#N/A","27° Período de sesiones del Consejo de Administración/Foro Ambiental Mundial a Nivel Ministerial del Programa de las Naciones Unisas para el Medio Ambiente PNUMA","16/02/2013",2013,"23/02/2013",1800,,4200,,"no","No"
1706,"Lineth Arcia","Ministerio del Ambiente","Lineth","Arcia","Dirección de protección de la calidad ambiental","nairobi","nairobi","#N/A","27° Período de sesiones del Consejo de Administración/Foro Ambiental Mundial a Nivel Ministerial del Programa de las Naciones Unisas para el Medio Ambiente PNUMA","16/02/2013",2013,"23/02/2013",,,1260,,"no","No"
1707,"Israel Tejada","Ministerio del Ambiente","Israel","Tejada","Dirección de áreas protegidas y vida silvestre","el salvador","el salvador","13,833333:-88,916667'","Taller de Planificación del Comité de Patrimonio Natural","11/02/2013",2013,"13/02/2013",,,210,,"no","No"
1708,"Julieta Fernández","Ministerio del Ambiente","Julieta","Fernández","Dirección de administración y finanzas","el salvador","el salvador","13,833333:-88,916667'","Taller de Lanzamiento de la Estrategia Regional de Iluminación Eficiente","25/02/2013",2013,"28/02/2013",,,315,,"no","No"
1709,"Helvecia Bonilla","Ministerio del Ambiente","Helvecia","Bonilla","Dirección de protección de la calidad ambiental","el salvador","el salvador","13,833333:-88,916667'","Taller de Planificación del POA CCAD","20/02/2013",2013,"23/02/2013",,,315,,"no","No"
1710,"Gerardo González","Ministerio del Ambiente","Gerardo","González","Dirección de gestión integrada de cuencas hidrográficas","italia","italia","42,833333:12,833333'","Opciones para tratar la tenencia de tierras en el marco de REDD","23/02/2013",2013,"28/02/2013",,,900,,"no","No"
1711,"Raúl Pinedo","Ministerio del Ambiente","Raúl","Pinedo","Despacho de asesor","honduras","honduras","15:-86,5'","Taller de Circunscripción Ampliandiado de FMAM","18/02/2013",2013,"21/02/2013",,,315,,"no","No"
1712,"Israel Torres","Ministerio del Ambiente","Israel","Torres","Unidad de cambio climático y desertificación","honduras","honduras","15:-86,5'","Taller de Circunscripción Ampliandiado de FMAM","18/02/2013",2013,"21/02/2013",,,315,,"no","No"
1713,"Abraham Herrera","Ministerio del Ambiente","Abraham","Herrera","Oficina de planificación y política ambiental","honduras","honduras","15:-86,5'","Taller de Circunscripción Ampliandiado de FMAM","18/02/2013",2013,"21/02/2013",,,315,,"no","No"
1714,"Darío Luque","Ministerio del Ambiente","Darío","Luque","Dirección de áreas protegidas y vida silvestre","honduras","honduras","15:-86,5'","Taller de Circunscripción Ampliandiado de FMAM","18/02/2013",2013,"21/02/2013",,,315,,"no","No"
1715,"Paola Jaén","Ministerio del Ambiente","Paola","Jaén","Oficina de asuntos internacionales","honduras","honduras","15:-86,5'","Taller de Circunscripción Ampliandiado de FMAM","18/02/2013",2013,"21/02/2013",,,315,,"no","No"
1716,"Israel Torres","Ministerio del Ambiente","Israel","Torres","Unidad de cambio climático y desertificación","el salvador","el salvador","13,833333:-88,916667'","Taller de Planificación del Comité de Cambio Climático","13/02/2013",2013,"15/02/2013",,,210,,"no","No"
1717,"Viterbo Villarreal","Ministerio del Ambiente","Viterbo","Villarreal","Unidad de cambio climático y desertificación","colombia","colombia","4:-72'","Segundo Seminario Regional de EUROCLIMA","24/02/2013",2013,"28/02/2013",,,420,,"no","No"
1718,"Lissy Tapia","Ministerio del Ambiente","Lissy","Tapia","Unidad de cambio climático y desertificación","colombia","colombia","4:-72'","Segundo Seminario Regional de EUROCLIMA","24/02/2013",2013,"28/02/2013",,,420,,"no","No"
1719,"Mirta Benítez","Ministerio del Ambiente","Mirta","Benítez","Unidad de cambio climático y desertificación","tailandia","tailandia","15:100'","Taller de Desarrollo de Estrategias de Bajas Emisiones de la Asociación Mundial de Aprendisaje y Liderazgo en LEDS","25/02/2013",2013,"02/03/2013",,,900,,"no","No"
1720,"Mabel Morcillo","Ministerio del Ambiente","Mabel","Morcillo","Secretario general","suiza","suiza","47:8'","Consulta sobre el Desarrollo del agua posterior al 2015: Manejo de Recursos de Agua Calidad de Agua.","25/02/2013",2013,"01/03/2013",,,1400,,"no","No"
1721,"Cynthia Deville","Ministerio del Ambiente","Cynthia","Deville","Unidad de cambio climático y desertificación","costa rica","costa rica","10:-84'","Foro Regional de la AEA ""Biogás y Eficiencia Energética en Centroamérica","03/03/2013",2013,"09/03/2013",,,630,,"no","No"
1722,"Kathia Mojica","Ministerio del Ambiente","Kathia","Mojica","Dirección de gestión integrada de cuencas hidrográficas","guatemala","guatemala","15,5:-90,25'","Taller de Planifiación del Proyeto del Agua y Clima","06/03/2013",2013,"09/03/2013",,,315,,"no","No"
1723,"Roberto Bonilla","Ministerio del Ambiente","Roberto","Bonilla","Oficina de planificación y política ambiental","chile","chile","-30:-71'","3° Seminario Internacional ""Impactos Sociales y Económicos del Cambio .","12/03/2013",2013,"16/03/2013",,,540,,"no","No"
1724,"Darío Luque","Ministerio del Ambiente","Darío","Luque","Unargen","cuba","cuba","22:-79,5'","Segunda Reunión Regional del Proyecto y Taller de Negociación de Contratos sobre acceso a los Recursos Genéticos.","17/03/2013",2013,"23/03/2013",,,630,,"no","No"
1725,"Raúl Pinedo","Ministerio del Ambiente","Raúl","Pinedo","Despacho de asesor","estados unidos de américa","estados unidos de américa","39,828175:-98,5795'","Mision Oficial a Washington","11/03/2012",2012,"15/03/2013",700,,1800,,"no","No"
1726,"Jilma Quiel","Ministerio del Ambiente","Jilma","Quiel","Oficina de relaciones públicas","tailandia","tailandia","15:100'","XVI Reunión de la Conferencia de las Partes","09/03/2013",2013,"15/03/2013",3500,,3600,,"no","No"
1727,"Silvano Vergara","Ministerio del Ambiente","Silvano","Vergara","Administración general","tailandia","tailandia","15:100'","XVI Reunión de la Conferencia de las Partes","09/03/2013",2013,"15/03/2013",,,,,"no","No"
1728,"Israel Tejada","Ministerio del Ambiente","Israel","Tejada","Unargen","tailandia","tailandia","15:100'","XVI Reunión de la Conferencia de las Partes","01/03/2013",2013,"15/03/2013",3500,,8400,,"no","No"
1729,"Magaly Castillo","Ministerio del Ambiente","Magaly","Castillo","Dirección administrativa de sistema de información ambiental","costa rica","costa rica","10:-84'","Taller Regional de Seguimiento en monitoreo de recursos Forestales","13/03/2013",2013,"16/03/2013",,,,,"no","No"
1730,"Israel Torres","Ministerio del Ambiente","Israel","Torres","Unidad de cambio climático y desertificación","suiza","suiza","47:8'","Renión de Alto Nivel de Políticas Nacionales Sobre la Sequía","09/03/2013",2013,"16/03/2013",,,1260,,"no","No"
1731,"Nicole O´callaghan","Ministerio del Ambiente","Nicole","O´Callaghan","Dirección de evaluación y ordenamiento ambiental","jamaica","jamaica","18,25:-77,5'","Curso de Agua Residuales","15/03/2013",2013,"24/03/2013",,,945,,"no","No"
1732,"Olmedo Pérez","Ministerio del Ambiente","Olmedo","Pérez","Dirección de evaluación y ordenamiento ambiental","jamaica","jamaica","18,25:-77,5'","Curso de Agua Residuales","15/03/2013",2013,"24/03/2013",,,945,,"no","No"
1733,"Daniel Pareja","Ministerio del Ambiente","Daniel","Pareja","Dirección de evaluación y ordenamiento ambiental","jamaica","jamaica","18,25:-77,5'","Curso de Agua Residuales","15/03/2013",2013,"24/03/2013",,,945,,"no","No"
1734,"Lorena Vanegas","Ministerio del Ambiente","Lorena","Vanegas","Unidad de cambio climático y desertificación","chile","chile","-30:-71'","Tercer Seinario Internacional Impatos sociales y económicos de Cambio Climático","12/03/2013",2013,"16/03/2013",,,540,,"no","No"
1735,"Ednadelis Flores","Ministerio del Ambiente","Ednadelis","Flores","Redd","costa rica","costa rica","10:-84'","Taller Regional de Mecanismo de Compensación del Prograna REDD GIZ/CCAD","17/03/2013",2013,"20/03/2013",,,315,,"no","No"
1736,"Deseriee Samaniego","Ministerio del Ambiente","Deseriee","Samaniego","Dirección de evaluación y ordenamiento ambiental","nicaragua","nicaragua","13:-85'","II Feria Centroamericana de Manejo Comunitario del agua ""Nuestra Agua""","20/03/2013",2013,"25/03/2013",600,,1750,,"no","No"
1737,"Roberto Galan","Ministerio del Ambiente","Roberto","Galan","Dirección de gestión integrada de cuencas hidrográficas","chile","chile","-30:-71'","Coordinación del Proyecto RALEA","16/03/2013",2013,"23/03/2013",,,945,,"no","No"
1738,"Silvano Vergara","Ministerio del Ambiente","Silvano","Vergara","Administración general","ecuador","ecuador","-2:-77,5'","Primera Reunión de Trabajo de la Comunidad de Estados Latinoamericanos y Caribeños y a la Reunión Intersesional del Foro de Ministros de América Latina y el Caribe.","31/03/2013",2013,"04/04/2013",1500,,1600,,"no","No"
1739,"Abraham Herrera","Ministerio del Ambiente","Abraham","Herrera","Oficina de planificación y política ambiental","ecuador","ecuador","-2:-77,5'","Primera Reunión de Trabajo de la Comunidad de Estados Latinoamericanos y Caribeños y a la Reunión Intersesional del Foro de Ministros de América Latina y el Caribe.","31/03/2013",2013,"04/04/2013",700,,1400,,"no","No"
1740,"Karina Ortiz","Ministerio del Ambiente","Karina","Ortiz","Asesoría legal","ecuador","ecuador","-2:-77,5'","Primera Reunión de Trabajo de la Comunidad de Estados Latinoamericanos y Caribeños y a la Reunión Intersesional del Foro de Ministros de América Latina y el Caribe.","31/03/2013",2013,"04/04/2013",700,,1400,,"no","No"
1741,"Paola Jaén","Ministerio del Ambiente","Paola","Jaén","Oficina de asuntos internacionales","ecuador","ecuador","-2:-77,5'","Primera Reunión de Trabajo de la Comunidad de Estados Latinoamericanos y Caribeños y a la Reunión Intersesional del Foro de Ministros de América Latina y el Caribe.","31/03/2013",2013,"04/04/2013",700,,1400,,"no","No"
1742,"Luis Lamboglia","Ministerio del Ambiente","Luis","Lamboglia","Oficina de relaciones públicas","ecuador","ecuador","-2:-77,5'","Primera Reunión de Trabajo de la Comunidad de Estados Latinoamericanos y Caribeños y a la Reunión Intersesional del Foro de Ministros de América Latina y el Caribe.","31/03/2013",2013,"04/04/2013",700,,1400,,"no","No"
1743,"Raúl Pinedo","Ministerio del Ambiente","Raúl","Pinedo","Despacho de asesor","alemania","alemania","51,5:10,5'","20° Reunión de Directivos del Fondo de Adaptación","31/03/2013",2013,"04/04/2013",,,1080,,"no","No"
1744,"Helvecia Bonilla","Ministerio del Ambiente","Helvecia","Bonilla","Dirección de protección de la calidad ambiental","colombia","colombia","4:-72'","Foro Sobre Incendio en Masas Vegetales","03/04/2013",2013,"06/04/2013",,,315,,"no","No"
1745,"María Barrios","Ministerio del Ambiente","María","Barrios","Dirección de gestión integrada de cuencas hidrográficas","colombia","colombia","4:-72'","Foro de Manejo Integral del Fuego","03/04/2013",2013,"06/04/2013",,,315,,"no","No"
1746,"Magaly Castillo","Ministerio del Ambiente","Magaly","Castillo","Dirección de gestión integrada de cuencas hidrográficas","ecuador","ecuador","-2:-77,5'","Taller de Intercambio sobre Sistemas Nacionales de Monitoreo de Bosques para REDD+ en América Latina","22/04/2013",2013,"27/04/2013",,,525,,"no","No"
1747,"Carlos Melgarejo","Ministerio del Ambiente","Carlos","Melgarejo","Dirección de gestión integrada de cuencas hidrográficas","ecuador","ecuador","-2:-77,5'","Taller de Intercambio sobre Sistemas Nacionales de Monitoreo de Bosques para REDD+ en América Latina","22/04/2013",2013,"27/04/2013",,,525,,"no","No"
1748,"Orlando Bernal","Ministerio del Ambiente","Orlando","Bernal","Dirección de evaluación y ordenamiento ambiental","honduras","honduras","15:-86,5'","XL Reunión Extraordinaria del Consejo de Ministros de la CCAD y a la I Reunión Interministerial de Ministros de Ambiente y Turismo","11/04/2013",2013,"13/04/2013",950,,700,,"no","No"
1749,"Yaoska Ruiz","Ministerio del Ambiente","Yaoska","Ruiz","Oficina de relaciones públicas","honduras","honduras","15:-86,5'","XL Reunión Extraordinaria del Consejo de Ministros de la CCAD y a la I Reunión Interministerial de Ministros de Ambiente y Turismo","11/04/2013",2013,"13/04/2013",950,,700,,"no","No"
1750,"Ariadnny Guevara","Ministerio del Ambiente","Ariadnny","Guevara","Dirección de gestión integrada de cuencas hidrográficas","honduras","honduras","15:-86,5'","XL Reunión Extraordinaria del Consejo de Ministros de la CCAD y a la I Reunión Interministerial de Ministros de Ambiente y Turismo","11/04/2013",2013,"13/04/2013",950,,700,,"no","No"
1751,"Silvano Vergara","Ministerio del Ambiente","Silvano","Vergara","Administración general","honduras","honduras","15:-86,5'","XL Reunión Extraordinaria del Consejo de Ministros de la CCAD y a la I Reunión Interministerial de Ministros de Ambiente y Turismo","11/04/2013",2013,"13/04/2013",1200,,800,,"no","No"
1752,"Carlos Arauz","Ministerio del Ambiente","Carlos","Arauz","Dirección de gestión integrada de cuencas hidrográficas","costa rica","costa rica","10:-84'","Curso Internacional ""Formación da Capacitadores"" en Gobernanza y Gestión Forestal con enfasis en REDD+","28/04/2013",2013,"11/05/2013",,,1365,,"no","No"
1753,"Martin Testa","Ministerio del Ambiente","Martin","Testa","Dirección de fomento a la cultura ambiental","costa rica","costa rica","10:-84'","Reunión Regional Preparativa para la Conferenia undial sobre la década de Educación para el Desarrollo Sosteniblw y Puntos Focales de la Red de Formaión Ambiental para America Latina y el Caribe","15/04/2013",2013,"19/04/2013",,,420,,"no","No"
1754,"Ednadelis Flores","Ministerio del Ambiente","Ednadelis","Flores","Dirección de gestión integrada de cuencas hidrográficas","costa rica","costa rica","10:-84'","Curso Internacional ""Formación da Capacitadores"" en Gobernanza y Gestión Forestal con enfasis en REDD+","28/04/2013",2013,"11/05/2013",,,1365,,"no","No"
